number,ROI_mean,Vec (V)
678,8.090603693181814,0.086945
679,8.08894232954545,0.0904092
680,8.089133806818179,0.0937247
681,8.089373068181812,0.0970773
682,8.088799715909087,0.100387
683,8.088326477272723,0.103776
684,8.08731670454545,0.107142
685,8.086739999999994,0.110333
686,8.08629795454545,0.113791
687,8.086829204545452,0.11697
688,8.086818409090903,0.120484
689,8.086668977272726,0.12357
690,8.086430738636368,0.126966
691,8.086308579545458,0.130412
692,8.085468238636366,0.133715
693,8.083139829545457,0.137055
694,8.084668238636366,0.140377
695,8.083889261363641,0.143779
696,8.083448465909093,0.147088
697,8.08335869318182,0.150484
698,8.083029147727277,0.153843
699,8.082054147727279,0.156998
700,8.08186494318182,0.160307
701,8.081917215909098,0.163709
702,8.082846875000003,0.167068
703,8.081295738636364,0.170414
704,8.081620738636365,0.173699
705,8.080244034090912,0.177145
706,8.080107670454545,0.180274
707,8.08051909090909,0.183775
708,8.079159545454546,0.187054
709,8.079235681818181,0.190524
710,8.079244204545457,0.193951
711,8.078978863636364,0.197205
712,8.078202727272727,0.200216
713,8.07749193181818,0.198723
714,8.078392102272723,0.195284
715,8.078780738636356,0.192086
716,8.079053465909087,0.188677
717,8.079036988636359,0.18535
718,8.078558579545453,0.181898
719,8.07761539772727,0.178508
720,8.077933749999996,0.175354
721,8.078121818181815,0.172094
722,8.078107613636359,0.16871
723,8.078055909090907,0.16524
724,8.078261590909092,0.161844
725,8.078891136363634,0.158758
726,8.079404034090912,0.155343
727,8.078877897727278,0.152114
728,8.079337556818182,0.148743
729,8.080972215909092,0.145297
730,8.080121647727275,0.142013
731,8.079938181818182,0.138549
732,8.080925113636356,0.135153
733,8.080302386363634,0.131936
734,8.079975113636358,0.128739
735,8.081149602272722,0.12533
736,8.081484204545449,0.122002
737,8.081519488636362,0.1186
738,8.08240846590909,0.115266
739,8.08236301136364,0.111963
740,8.083597102272726,0.108703
741,8.08407210227273,0.105332
742,8.083974943181818,0.10206
743,8.084942045454547,0.0986948
744,8.083862102272724,0.0953421
745,8.08479164772727,0.0920267
746,8.08550698863636,0.0886802
747,8.084618920454545,0.0853028
748,8.084362102272722,0.0819315
749,8.084319488636359,0.0785851
750,8.085353238636365,0.0752014
751,8.085821988636367,0.0719293
752,8.08637653409091,0.0685581
753,8.08700272727273,0.0653417
754,8.087915738636365,0.0620201
755,8.089010681818182,0.0585869
756,8.088776420454547,0.0552776
757,8.088913920454543,0.0518877
758,8.089209943181816,0.0486714
759,8.08986732954545,0.045294
760,8.090638352272727,0.0419599
761,8.091246306818183,0.0385267
762,8.090913977272725,0.0351926
763,8.091361704545456,0.0319019
764,8.092341249999999,0.0285741
765,8.092283863636368,0.025333
766,8.09323840909091,0.0218564
767,8.093424772727275,0.0185161
768,8.093094204545455,0.0152936
769,8.093749886363636,0.0119843
770,8.094462386363633,0.00866883
771,8.09470159090909,0.00530378
772,8.094515227272721,0.00188915
773,8.094271477272729,-0.00145731
774,8.095241704545446,-0.00484096
775,8.095709886363629,-0.00824939
776,8.096320113636356,-0.0115525
777,8.096704772727266,-0.0146882
778,8.096795681818177,-0.0182392
779,8.096809318181814,-0.0216042
780,8.09658636363636,-0.0248082
781,8.099427840909083,-0.028167
782,8.097878409090908,-0.0313647
783,8.099433011363633,-0.0346616
784,8.09943295454545,-0.0382374
785,8.099720568181818,-0.0415095
786,8.101993181818175,-0.0448683
787,8.102442045454536,-0.0481714
788,8.102896022727263,-0.0514497
789,8.102928522727263,-0.0548334
790,8.10293409090908,-0.0582294
791,8.102931931818175,-0.0615758
792,8.104031931818179,-0.0648541
793,8.104288181818179,-0.0681138
794,8.10434556818182,-0.0713364
795,8.104404659090909,-0.0746085
796,8.104479659090911,-0.0779611
797,8.10440068181818,-0.0814129
798,8.105465681818185,-0.084747
799,8.10651681818182,-0.0880253
800,8.10733556818182,-0.0914213
801,8.106130511363641,-0.0947368
802,8.107554318181824,-0.0980585
803,8.108933352272732,-0.101442
804,8.110040681818177,-0.104789
805,8.109846931818176,-0.10816
806,8.109506590909083,-0.111469
807,8.10890892045454,-0.114685
808,8.109120795454542,-0.117914
809,8.109481704545452,-0.121341
810,8.110559090909092,-0.124706
811,8.111628409090908,-0.128022
812,8.111901136363636,-0.131356
